stemming,label
"['sdm', 'asli', 'ykc', 'indonesiaemas']",neutral
"['presiden', 'jokowi', 'menteri', 'kabinet', 'indonesia', 'maju', 'fokus', 'kerja', 'tuntas', 'program', 'relasi', 'antarmenteri', 'kabinet', 'solid', 'pengaruh', 'dinamika', 'politik', 'pasca', 'pilpres', 'projo', 'jokowi', 'indonesiaemas']",neutral
"['relasi', 'presiden', 'jokowi', 'menhan', 'prabowo', 'solid', 'isuisu', 'kait', 'presiden', 'jokowi', 'dinamika', 'koalisi', 'perintah', 'bijak', 'projo', 'jokowi', 'indonesiaemas', 'budiariesetiadi']",negative
"['paic', 'oh', 'gerombol', 'klakson', 'rs', 'indonesiaemas']",neutral
"['ramadan', 'selamat', 'buka', 'puasa', 'projo', 'jokowi', 'indonesiaemas', 'ramadandays']",neutral
"['neveralonely', 'alhamdulillah', 'bongkar', 'usut', 'tuntas', 'koruptor', 'indonesiaemas']",positive
"['opini', 'iwanfals', 'indonesiaemas', 'soekarno', 'hatta']",positive
"['gimana', 'maju', 'indonesia', 'kalo', 'pimpin', 'jual', 'agama', 'satu', 'jual', 'moral', 'sok an', 'diskualifikasi', 'menang', 'baik', 'instropeksi', 'utk', 'pilih', 'indonesiaemas']",positive
"['indonesia', 'tuan', 'rumah', 'world', 'water', 'forum', 'dunia', 'projo', 'jokowi', 'indonesiaemas']",neutral
"['buka', 'santun', 'dpd', 'projo', 'kepri', 'projo', 'jokowi', 'indonesiaemas']",negative
"['mata', 'uang', 'asia', 'keok', 'lawan', 'dolar', 'as', 'rupiah', 'ngenes', 'indonesiaemas']",negative
"['salah', 'usaha', 'usaha', 'china', 'ni', 'masuk', 'warga', 'indonesia', 'cuman', 'curi', 'kaya', 'indonesia', 'karpet', 'merah', 'usaha', 'usaha', 'china', 'indonesiaemas']",positive
"['bisik', 'ya', 'projo', 'jokowi', 'indonesiaemas']",negative
"['mudik', 'gratis', 'projo', 'projo', 'jokowi', 'prabowogibran', 'indonesiaemas']",negative
"['ikn', 'banjir', 'investor', 'investor', 'negeri', 'sepakat', 'bentuk', 'forum', 'investor', 'ikn', 'cepat', 'bangun', 'iknnusantara', 'investment', 'infrastructure', 'paobc', 'lufc', 'indonesiaemas']",neutral
"['video', 'edar', 'sd', 'rakyat', 'yg', 'hidup', 'sulit', 'tugas', 'utk', 'duli', 'amp', 'wajib', 'pemda', 'utk', 'hidup', 'rakyat', 'miskin', 'kemensos', 'humas', 'indonesiaemas']",negative
"['kumpar', 'astaghfirullah', 'naudzubillahiminzalik', 'indonesiaemas']",negative
"['masjid', 'kali', 'gabung', 'witir', 'waspada', 'langsung', 'sujud', 'rakaat', 'komunitas', 'tki', 'qunutnya', 'noteself', 'indonesiaemas', 'lebaran', 'operasiketupat', 'takjilwar', 'specialtycoffee']",neutral
"['srully', 'subur', 'islam', 'rambut', 'aurat', 'rambut', 'mahkota', 'tampak', 'suami', 'anak', 'anak', 'muhrim', 'subhanallah', 'indonesiaemas']",negative
"['ketua', 'golkar', 'ketua', 'demokrat', 'ketua', 'projo', 'tangkap', 'frekuensi', 'jokowiprabowo', 'projo', 'jokowi', 'indonesiaemas']",negative
"['indonesia', 'milik', 'pasar', 'prediksi', 'dampak', 'dorong', 'jaya', 'ekonomi', 'ekonomi', 'indonesiaemas', 'medcomid']",positive
"['umum', 'hasil', 'sip', 'anhkatan', 'polri', 'polripresisi', 'presisi', 'polisi', 'polisi', 'polisiindonesia', 'polisikeren', 'polisimilitary', 'sdm', 'ssdm', 'sisdm', 'indonesia', 'emas', 'indonesiaemas', 'damaiindonesia', 'sulselmaju', 'poldasulsel', 'aman', 'masyarakat', 's', 'fyp', 'sdmunggul']",positive
"['prabowo', 'presiden', 'pilih', 'projo', 'jokowi', 'indonesiaemas']",negative
"['bisik', 'menteri', 'kemkominfo', 'budi', 'arie', 'prabowo', 'projo', 'jokowi', 'indonesiaemas']",negative
"['milu', 'menang', 'kalah', 'lawan', 'gerombol', 'provokator', 'pecah', 'belah', 'rakyat', 'pemiluamandamai', 'pemilukondusif', 'verydarkman', 'fights', 'indonesiaemas']",negative
"['jamalboegis', 'bawasluri', 'alhamdulillah', 'ya', 'allah', 'bongkar', 'aku', 'salah', 'indonesiaemas']",positive
"['selamat', 'ingat', 'jumat', 'agung', 'projo', 'jokowi', 'indonesiaemas']",positive
"['presiden', 'jokowi', 'bukber', 'menteri', 'kabinet', 'istana', 'negara', 'projo', 'jokowi', 'indonesiaemas']",negative
"['selamat', 'raya', 'tri', 'suci', 'projo', 'jokowi', 'indonesiaemas']",positive
"['suka', 'narasi', 'nyok', 'ramdhan', 'h', 'maret', 'april', 'revolusi', 'akhlak', 'pribadi', 'produktif', 'amal', 'baik', 'jadi', 'adab', 'standar', 'hidup', 'indonesiaemas', 'nkrimembangun', 'aagym', 'pksmakasar', 'mardanialisera']",positive
['indonesiaemas'],positive
"['kepala', 'desa', 'indonesiaemas']",neutral
"['timah', 'indonesiaemas']",positive
"['sehat', 'jokowi', 'biar', 'org', 'bnyk', 'nyinyir', 'caci', 'maki', 'bpk', 'ambil', 'pahala', 'indonesiaemas']",positive
"['kompascom', 'akal', 'aja', 'biar', 'bnyak', 'ptongnya', 'indonesiacemas']",neutral
"['as', 'sdm', 'kapolri', 'pimpin', 'rapat', 'siap', 'terima', 'padu', 'anggota', 'polri', 'ta', 'polri', 'polripresisi', 'presisi', 'polisi', 'polisi', 'polisiindonesia', 'polisikeren', 'polisimilitary', 'sdm', 'ssdm', 'sisdm', 'indonesia', 'emas', 'indonesiaemas', 'damaiindonesia', 'sulselmaju', 'poldasulsel', 'aman']",positive
"['dekarbonisasi', 'industri', 'besi', 'baja', 'pilih', 'harus', 'kerja', 'keras', 'kolaborasi', 'cipta', 'industri', 'lanjut', 'dukung', 'indonesiaemas', 'aksikitahijaukanindustri']",positive
"['arah', 'karo', 'sdm', 'polda', 'sulsel', 'kombes', 'pol', 'aris', 'haryanto', 'sik', 'mhum', 'oelaksanaan', 'apel', 'pagi', 'satker', 'mapolda', 'sulsel', 'polri', 'polripresisi', 'presisi', 'polisi', 'polisi', 'polisiindonesia', 'polisikeren', 'polisimilitary', 'sdm', 'ssdm', 'sisdm', 'indonesia', 'emas', 'indonesiaemas', 'damaiindonesia']",neutral
"['negara', 'maju', 'klau', 'pikir', 'bencana', 'banjir', 'karna', 'alam', 'restu', 'pimpin', 'timnasday', 'indonesiaemas']",negative
"['indonesia', 'indoviral', 'indo', 'indonesiaemas', 'indonesialengkap', 'indonesiamuda', 'viralindo', 'viralterbaru', 'viralindonesia', 'ilmu', 'tahu', 'ilmupengetahuan', 'teknik', 'teknologi', 'iptek', 'iptekdunia']",neutral
"['ngk', 'main', 'naturalisasi', 'dateng', 'effectnya', 'beuh', 'indonesia', 'vietnam', 'nyala', 'abang', 'indonesiaemas']",negative
"['thom', 'debut', 'asist', 'tendang', 'pojok', 'nathan', 'debut', 'asist', 'gera', 'klimis', 'sisi', 'kiri', 'bang', 'jay', 'debut', 'gol', 'gol', 'sundul', 'ragnar', 'debut', 'gol', 'solo', 'run', 'goal', 'go', 'go', 'go', 'indonesiaaaaaa', 'timnasindonesia', 'timnasday', 'indonesiaemas']",neutral
"['jokowi', 'indonesiaemas', 'lanjut']",positive
"['ramadan', 'selamat', 'buka', 'puasa', 'projo', 'jokowi', 'indonesiaemas', 'ramadan']",neutral
"['tempodotco', 'bansos', 'indonesiaemas', 'lanjut']",neutral
"['latkatpuan', 'operator', 'e', 'patma', 'polri', 'polripresisi', 'presisi', 'polisi', 'polisi', 'polisiindonesia', 'polisikeren', 'polisimilitary', 'sdm', 'ssdm', 'sisdm', 'indonesia', 'emas', 'indonesiaemas', 'damaiindonesia', 'sulselmaju', 'poldasulsel', 'aman', 'masyarakat', 's', 'fyp', 'sdmunggul']",positive
"['bagi', 'takjil', 'polda', 'sulsel', 'polri', 'polripresisi', 'presisi', 'polisi', 'polisi', 'polisiindonesia', 'polisikeren', 'polisimilitary', 'sdm', 'ssdm', 'sisdm', 'indonesia', 'emas', 'indonesiaemas', 'damaiindonesia', 'sulselmaju', 'poldasulsel', 'aman', 'masyarakat', 's', 'fyp', 'sdmunggul']",positive
